nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
CAIRINA MOSCHATA,Cairina moschata,"Cairina moschata (Linnaeus, 1758)",9751099.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,ACCEPTED,98,LC
AULACORHYNCHUS PRASINUS,Aulacorhynchus prasinus,"Aulacorhynchus prasinus (Gould, 1833)",5229012.0,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,ACCEPTED,99,LC
SIBON NEBULATA,Sibon nebulata,"Sibon nebulatus (Linnaeus, 1758)",2458237.0,Animalia,Chordata,Squamata,,Colubridae,Sibon,ACCEPTED,96,LC
EGRETA THULA,Egreta thula,"Egretta thula (Molina, 1782)",2480873.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,ACCEPTED,85,
COMPTODTOMA OBSOLETUM,Comptodtoma obsoletum,,,,,,,,,,0,
MOLOTHRUS BONARIENSIS,Molothrus bonariensis,"Molothrus bonariensis (Gmelin, 1789)",2484396.0,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,ACCEPTED,99,LC
PHYLLOSTOMUS DISCOLOR,Phyllostomus discolor,"Phyllostomus discolor Wagner, 1843",2433280.0,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,ACCEPTED,99,LC
BASILISCUS SP.,Basiliscus sp.,"Basiliscus Laurenti, 1768",2448619.0,Animalia,Chordata,Squamata,,Corytophanidae,Basiliscus,ACCEPTED,94,NE
PIAYA CAYANA,Piaya cayana,"Piaya cayana (Linnaeus, 1766)",2496432.0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Piaya,ACCEPTED,99,LC
XENERPESTES MINLOSI,Xenerpestes minlosi,"Xenerpestes minlosi Berlepsch, 1886",2485904.0,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Xenerpestes,ACCEPTED,99,LC
ROSTRHAMUS SOCIABILIS,Rostrhamus sociabilis,"Rostrhamus sociabilis (Vieillot, 1817)",2480415.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,ACCEPTED,99,LC
MOLOSSUS MOLOSSUS,Molossus molossus,"Molossus molossus (Pallas, 1766)",5218725.0,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Molossus,ACCEPTED,99,LC
RHINOCLEMYS NASUTA,Rhinoclemys nasuta,"Rhinoclemmys nasuta (Boulenger, 1902)",2443648.0,Animalia,Chordata,Testudines,,Geoemydidae,Rhinoclemmys,ACCEPTED,85,
ERYTHROLAMPRUS BIZONUS,Erythrolamprus bizonus,"Erythrolamprus bizona Jan, 1863",7368688.0,Animalia,Chordata,Squamata,,Colubridae,Erythrolamprus,ACCEPTED,96,LC
LACHESIS ACROCHARTA,Lachesis acrocharta,"Lachesis acrochorda (Garcia, 1896)",5221070.0,Animalia,Chordata,Squamata,,Viperidae,Lachesis,ACCEPTED,93,LC
CHERONIUS GRANDISQUAMIS,Cheronius grandisquamis,"Chironius grandisquamis (Peters, 1869)",2457313.0,Animalia,Chordata,Squamata,,Colubridae,Chironius,ACCEPTED,85,
MARMOSOPS SP.,Marmosops sp.,"Marmosops Matschie, 1916",2439940.0,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosops,ACCEPTED,94,NE
ESCORPION,Escorpion,,,,,,,,,,0,
NYCTIBIUS AETHEREUS,Nyctibius aethereus,"Nyctibius aethereus (zu Wied-Neuwied, 1820)",2496796.0,Animalia,Chordata,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,ACCEPTED,99,LC
