nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
COEREBA FLAVEOLA,Coereba flaveola,"Coereba flaveola (Linnaeus, 1758)",2493744.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coereba,ACCEPTED,99,LC
PORZANA CAROLINA,Porzana carolina,"Porzana carolina (Linnaeus, 1758)",2474639.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,ACCEPTED,99,LC
COLIBRI SP,Colibri sp,"Colibri von Spix, 1824",5228473.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,ACCEPTED,92,NE
PHONEUTRIA NIGRIVENTER,Phoneutria nigriventer,"Phoneutria nigriventer (Keyserling, 1891)",2152822.0,Animalia,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,ACCEPTED,99,NE
HARPYHALIAETUS SOLITARIUS,Harpyhaliaetus solitarius,"Harpyhaliaetus solitarius (Tschudi, 1844)",2480374.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpyhaliaetus,ACCEPTED,99,NT
IGUANA IGUANA HUEVOS,Iguana iguana,"Iguana iguana (Linnaeus, 1758)",2459658.0,Animalia,Chordata,Squamata,,Iguanidae,Iguana,ACCEPTED,99,LC
ELECTROPHORUS ELECTRICUS,Electrophorus electricus,"Electrophorus electricus (Linnaeus, 1766)",2401958.0,Animalia,Chordata,,Gymnotiformes,Gymnotidae,Electrophorus,ACCEPTED,99,LC
NO IDENTIFICADA,No identificada,,,,,,,,,,0,
INDETERMINADA,Indeterminada,,,,,,,,,,0,
ERYTHROLAMPUS TYPHLUS,Erythrolampus typhlus,"Erythrolamprus typhlus (Linnaeus, 1758)",8151938.0,Animalia,Chordata,Squamata,,Colubridae,Erythrolamprus,ACCEPTED,85,
CHELUS FIMBRIATA,Chelus fimbriata,"Chelus fimbriata (Schneider, 1783)",2441927.0,Animalia,Chordata,Testudines,,Chelidae,Chelus,ACCEPTED,99,NE
MELANERPES FORMICIVORUS FLAVIGULA (MALHERBE),Melanerpes formicivorus,"Melanerpes formicivorus (Swainson, 1827)",2478133.0,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,ACCEPTED,99,LC
UCA SP,Uca sp,"Uca Leach, 1814",6586700.0,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca,ACCEPTED,92,
CORAGYPS ATRATUS BECHSTEIN,Coragyps atratus,"Coragyps atratus (Bechstein, 1793)",2481942.0,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,ACCEPTED,99,LC
KINOSTERNON LEUCOSTOMUM,Kinosternon leucostomum,"Kinosternon leucostomum (Duméril, Bibron & Duméril, 1851)",2442350.0,Animalia,Chordata,Testudines,,Kinosternidae,Kinosternon,ACCEPTED,99,NE
PYRILIA PULCHRA,Pyrilia pulchra,"Pyrilia pulchra (Berlepsch, 1897)",5788420.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionopsitta,SYNONYM,98,LC
ERYTHROLAMPRUS MELANOTUS,Erythrolamprus melanotus,"Erythrolamprus melanotus (Shaw, 1802)",9367661.0,Animalia,Chordata,Squamata,,Colubridae,Erythrolamprus,ACCEPTED,99,LC
RAMPHASTOS TUCANUS,Ramphastos tucanus,"Ramphastos tucanus Linnaeus, 1758",2478774.0,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,ACCEPTED,99,LC
CHLOROCERYLE AMERICANA,Chloroceryle americana,"Chloroceryle americana (J.F.Gmelin, 1788)",2475486.0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Chloroceryle,ACCEPTED,99,LC
LATERALLUS ALBIGULARIS,Laterallus albigularis,"Laterallus albigularis (Lawrence, 1861)",2474599.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Laterallus,ACCEPTED,99,LC
BUTORIDES STRIATUS,Butorides striatus,"Butorides striata (Linnaeus, 1758)",2480824.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,ACCEPTED,96,LC
TAMANDUA SP,Tamandua sp,"Tamandua Gray, 1825",2436334.0,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,ACCEPTED,92,NE
TANGARA CAYANA,Tangara cayana,"Tangara cayana (Linnaeus, 1766)",2488246.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stilpnia,SYNONYM,98,LC
NYCTIDROMUS ALBOCOLLIS,Nyctidromus albocollis,"Nyctidromus albicollis (J.F.Gmelin, 1789)",2496990.0,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus,ACCEPTED,95,LC
CUNICULUS PACA,Cuniculus paca,"Cuniculus paca (Linnaeus, 1766)",4263039.0,Animalia,Chordata,Mammalia,Rodentia,Cuniculidae,Cuniculus,ACCEPTED,99,LC
MOMOTUS MOMOTA AEQUATORIALIS GOULD,Momotus momota,"Momotus momota (Linnaeus, 1766)",2475290.0,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Momotus,ACCEPTED,99,LC
CHONDROHIERAX UNCINATUS,Chondrohierax uncinatus,"Chondrohierax uncinatus (Temminck, 1822)",2480571.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Chondrohierax,ACCEPTED,99,LC
POLYBORUS PLANCUS,Polyborus plancus,"Polyborus plancus (J.F.Miller, 1777)",2480990.0,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,SYNONYM,98,LC
PSAROCOLIUS WAGLERI,Psarocolius wagleri,"Psarocolius wagleri (G.R.Gray, 1845)",2484237.0,Animalia,Chordata,Aves,Passeriformes,Icteridae,Psarocolius,ACCEPTED,99,LC
AMAZILIA SAUCEROTTEI,Amazilia saucerottei,"Amazilia saucerottei (Delattre & Bourcier, 1846)",8336802.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Saucerottia,SYNONYM,98,LC
EPTESICUS BRASILIENSIS ANDINUS J.A. ALLEN,Eptesicus brasiliensis,"Eptesicus brasiliensis (Desmarest, 1819)",2432368.0,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,ACCEPTED,99,LC
BUBO VIRGINIANUS,Bubo virginianus,"Bubo virginianus (J.F.Gmelin, 1788)",5959118.0,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,ACCEPTED,99,LC
BROTEGERIS CYANOPTERA,Brotegeris cyanoptera,"Brotogeris cyanoptera (Pelzeln, 1870)",2479576.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,ACCEPTED,83,
PHAETHORNIS GUY,Phaethornis guy,"Phaethornis guy (R.Lesson, 1833)",2476607.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Phaethornis,ACCEPTED,99,LC
ANTHRACOTHORAX NIGRICOLLIS,Anthracothorax nigricollis,"Anthracothorax nigricollis (Vieillot, 1817)",2476718.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,ACCEPTED,99,LC
ERYTHROLAMPRUS BIZONA,Erythrolamprus bizona,"Erythrolamprus bizona Jan, 1863",7368688.0,Animalia,Chordata,Squamata,,Colubridae,Erythrolamprus,ACCEPTED,99,LC
AMAZONA MERCENARIA CANIPALLIATA (CABANIS),Amazona mercenaria,"Amazona mercenaria (Tschudi, 1844)",2479636.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,ACCEPTED,99,LC
FORPUS CONSPICILLATUS SUBSP. PERQUITO,Forpus conspicillatus,"Forpus conspicillatus (Lafresnaye, 1848)",2479071.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,ACCEPTED,99,LC
PSEUDOSCOPS CLAMATOR,Pseudoscops clamator,"Pseudoscops clamator (Vieillot, 1808)",2497774.0,Animalia,Chordata,Aves,Strigiformes,Strigidae,Pseudoscops,ACCEPTED,99,LC
CALUROMYS LANATUS,Caluromys lanatus,"Caluromys lanatus (Olfers, 1818)",2440004.0,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Caluromys,ACCEPTED,98,LC
PIRANGA OLIVACEA (GMELIN),Piranga olivacea,"Piranga olivacea (J.F.Gmelin, 1789)",2488517.0,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,ACCEPTED,99,LC
CAROLLIA PERSPICILLATA,Carollia perspicillata,"Carollia perspicillata (Linnaeus, 1758)",2433176.0,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,ACCEPTED,99,LC
EUBUCCO BOURCIERII,Eubucco bourcierii,"Eubucco bourcierii (Lafresnaye, 1845)",2478979.0,Animalia,Chordata,Aves,Piciformes,Capitonidae,Eubucco,ACCEPTED,99,LC
CONTOPUS VIRENS (LINNAEUS),Contopus virens,"Contopus virens (Linnaeus, 1766)",5229734.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,ACCEPTED,99,LC
CARDUELIS PSALTRIA,Carduelis psaltria,"Carduelis psaltria (Say, 1822)",2494739.0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,SYNONYM,98,LC
SPOROPHILA AMERICANA,Sporophila americana,"Sporophila americana (J.F.Gmelin, 1789)",2491332.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,ACCEPTED,99,LC
LONTRA LONGICAUDIS,Lontra longicaudis,"Lontra longicaudis (Olfers, 1818)",2433738.0,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,ACCEPTED,99,NT
TYRANNUS TYRANNUS,Tyrannus tyrannus,"Tyrannus tyrannus (Linnaeus, 1758)",5229688.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,ACCEPTED,99,LC
MYOTIS ALBESCENS,Myotis albescens,"Myotis albescens (E.Geoffroy, 1806)",2432424.0,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,ACCEPTED,99,LC
GYMNOMYSTAX MEXICANUS,Gymnomystax mexicanus,"Gymnomystax mexicanus (Linnaeus, 1766)",2484109.0,Animalia,Chordata,Aves,Passeriformes,Icteridae,Gymnomystax,ACCEPTED,99,LC
SPOROPHILIA CRASSIROSTRIS,Sporophilia crassirostris,"Sporophila crassirostris (J.F.Gmelin, 1789)",8362699.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,ACCEPTED,85,
ZONOTRICHIA CAPENSIS,Zonotrichia capensis,"Zonotrichia capensis (P.L.S.Müller, 1776)",5231103.0,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,ACCEPTED,99,LC
NASUELLA OLIVACEA LAGUNETAE J.A. ALLEN,Nasuella olivacea,"Nasuella olivacea (Gray, 1865)",2433588.0,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,SYNONYM,98,NT
CARDENALIS PHOENICEUS,Cardenalis phoeniceus,"Cardinalis phoeniceus Bonaparte, 1838",2490404.0,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,ACCEPTED,85,
PYRILIA PYRILIA,Pyrilia pyrilia,"Pyrilia pyrilia (Bonaparte, 1853)",5788422.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionopsitta,SYNONYM,98,NT
BOTHROPS ATROX,Bothrops atrox,"Bothrops atrox (Linnaeus, 1758)",5220775.0,Animalia,Chordata,Squamata,,Viperidae,Bothrops,ACCEPTED,99,LC
DENDROCYGNA BICOLOR,Dendrocygna bicolor,"Dendrocygna bicolor (Vieillot, 1816)",2498402.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,ACCEPTED,99,LC
RUPORNIS MAGNIROSTRIS,Rupornis magnirostris,"Rupornis magnirostris (Gmelin, 1788)",5844398.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rupornis,ACCEPTED,99,LC
ZENAIDA AURICULATA,Zenaida auriculata,"Zenaida auriculata (Des Murs, 1847)",2495358.0,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,ACCEPTED,99,LC
TYRANNUS MELANCHOLICUS,Tyrannus melancholicus,"Tyrannus melancholicus Vieillot, 1819",5229662.0,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,ACCEPTED,99,LC
MARMOSA SP,Marmosa sp,"Marmosa Gray, 1821",2439860.0,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,ACCEPTED,92,NE
NOTOSCIURUS GRANATENSIS,Notosciurus granatensis,Notosciurus granatensis,11160000.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Notosciurus,ACCEPTED,99,NE
NYCTIDROMUS ALBICOLLIS,Nyctidromus albicollis,"Nyctidromus albicollis (J.F.Gmelin, 1789)",2496990.0,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus,ACCEPTED,99,LC
COLIUMBINA TALPCOTI,Coliumbina talpcoti,"Columbina talpacoti (Temminck, 1810)",2495858.0,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,ACCEPTED,80,
MAZAMA,Mazama,,,,,,,,,,0,
TAPIRUS PINCHAQUE,Tapirus pinchaque,"Tapirus pinchaque (Roulin, 1829)",2440899.0,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,ACCEPTED,99,EN
PORPHYRIO MARTINICUS,Porphyrio martinicus,"Porphyrio martinica (Linnaeus, 1766)",5228136.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,ACCEPTED,96,LC
PODOCNEMIS UNIFILIS,Podocnemis unifilis,"Podocnemis unifilis Troschel, 1848",2442782.0,Animalia,Chordata,Testudines,,Podocnemididae,Podocnemis,ACCEPTED,99,VU
PODOCNEMIS VOGLI,Podocnemis vogli,"Podocnemis vogli Müller, 1935",2442791.0,Animalia,Chordata,Testudines,,Podocnemididae,Podocnemis,ACCEPTED,99,NE
CLEIA CLEIA,Cleia cleia,,,,,,,,,,0,
POGONA VITTICEPS,Pogona vitticeps,"Pogona vitticeps (Ahl, 1926)",2465641.0,Animalia,Chordata,Squamata,,Agamidae,Pogona,ACCEPTED,99,LC
CUCARACHAS,Cucarachas,,,,,,,,,,0,
MUDAS DE BOAS CONSTRICTOR,Mudas de,,,,,,,,,,0,
GRYLLUS CAMPESTRES,Gryllus campestres,"Gryllus campestris Linnaeus, 1758",1716462.0,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,ACCEPTED,93,NE
TRACHEMYC CALLIROSTRIS,Trachemyc callirostris,"Trachemys callirostris (Gray, 1856)",2442992.0,Animalia,Chordata,Testudines,,Emydidae,Trachemys,ACCEPTED,85,
MOMOTUS AEQUATORIALIS,Momotus aequatorialis,"Momotus aequatorialis Gould, 1858",2475311.0,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Momotus,ACCEPTED,99,LC
CHOLOEPUS HOFFMANNI,Choloepus hoffmanni,"Choloepus hoffmanni Peters, 1858",5219520.0,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,ACCEPTED,99,LC
EUPSITTULA PERTINAX,Eupsittula pertinax,"Eupsittula pertinax (Linnaeus, 1758)",7926461.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,SYNONYM,98,LC
GERANOAETUS ALBICAUDATUS,Geranoaetus albicaudatus,"Geranoaetus albicaudatus (Vieillot, 1816)",7787493.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,SYNONYM,98,LC
SIBON NEBULATUS,Sibon nebulatus,"Sibon nebulatus (Linnaeus, 1758)",2458237.0,Animalia,Chordata,Squamata,,Colubridae,Sibon,ACCEPTED,99,LC
COENDOU RUFESCENS,Coendou rufescens,"Coendou rufescens (Gray, 1865)",11056981.0,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Echinoprocta,SYNONYM,98,LC
ARA SEVERUS,Ara severus,"Ara severus (Linnaeus, 1758)",5959228.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ACCEPTED,99,LC
PANGASIANODON HYPOPHTHALMUS,Pangasianodon hypophthalmus,"Pangasianodon hypophthalmus (Sauvage, 1878)",2340714.0,Animalia,Chordata,,Siluriformes,Pangasiidae,Pangasianodon,ACCEPTED,99,EN
HEXANEMATICHTHYS SEEMANNI,Hexanematichthys seemanni,"Hexanematichthys seemanni (Günther, 1864)",2345019.0,Animalia,Chordata,,Siluriformes,Ariidae,Ariopsis,SYNONYM,98,LC
PORPHYRIO MARTINICA,Porphyrio martinica,"Porphyrio martinica (Linnaeus, 1766)",5228136.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,ACCEPTED,99,LC
ORTALIS COLUMBIANA,Ortalis columbiana,"Ortalis columbiana Hellmayr, 1906",5229460.0,Animalia,Chordata,Aves,Galliformes,Cracidae,Ortalis,ACCEPTED,99,LC
PENDIENTE ID,Pendiente id,,,,,,,,,,0,
PIONITES MELANOCEPHALUS,Pionites melanocephalus,"Pionites melanocephalus (Linnaeus, 1758)",2479437.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionites,ACCEPTED,99,LC
PIONUS MENTRUUS,Pionus mentruus,"Pionus menstruus (Linnaeus, 1766)",2479902.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,ACCEPTED,95,LC
EGRETTA THULA,Egretta thula,"Egretta thula (Molina, 1782)",2480873.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,ACCEPTED,99,LC
ARA CHLOROPTERUS,Ara chloropterus,"Ara chloropterus G.R.Gray, 1859",5959225.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ACCEPTED,99,LC
POMACEA CANALICULATA,Pomacea canaliculata,"Pomacea canaliculata (Lamarck, 1822)",2292582.0,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,ACCEPTED,99,LC
BRACHYPELMA SMITHI,Brachypelma smithi,"Brachypelma smithi (F.O.Pickard-Cambridge, 1897)",2153432.0,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma,ACCEPTED,99,NT
NOTROSCIURUS GRANATENSIS,Notrosciurus granatensis,Notosciurus granatensis,11160000.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Notosciurus,ACCEPTED,85,
DENDROPSOPHUS COLUMBIANUS,Dendropsophus columbianus,"Dendropsophus columbianus (Boettger, 1892)",2428577.0,Animalia,Chordata,Amphibia,Anura,Hylidae,Dendropsophus,ACCEPTED,99,LC
MILVAGO CHIMACHIMA,Milvago chimachima,"Milvago chimachima (Vieillot, 1816)",2481066.0,Animalia,Chordata,Aves,Falconiformes,Falconidae,Milvago,ACCEPTED,99,LC
PHALACRCORAX BRASILIANUS,Phalacrcorax brasilianus,"Phalacrocorax brasilianus (Gmelin, 1789)",9399113.0,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,ACCEPTED,85,
STENORRHINA DEGENHARDTII,Stenorrhina degenhardtii,"Stenorrhina degenhardtii (Berthold, 1846)",2455347.0,Animalia,Chordata,Squamata,,Colubridae,Stenorrhina,ACCEPTED,99,LC
NASUELLA OLIVACEA,Nasuella olivacea,"Nasuella olivacea (Gray, 1865)",2433588.0,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,SYNONYM,98,NT
AMBYSTOMA MEXICANUM,Ambystoma mexicanum,"Ambystoma mexicanum (Shaw & Nodder, 1798)",2431950.0,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,ACCEPTED,99,CR
PIONUS MENSTRUUS RUBRIGULARIS,Pionus menstruus,"Pionus menstruus (Linnaeus, 1766)",2479902.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,ACCEPTED,99,LC
ALOUATTA SENICULUS,Alouatta seniculus,"Alouatta seniculus (Linnaeus, 1766)",2436648.0,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,ACCEPTED,99,LC
PUMA YAGOUAROUNDI,Puma yagouaroundi,"Puma yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)",2435146.0,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,ACCEPTED,99,LC
SPIZAETUS MELANOLEUCUS,Spizaetus melanoleucus,"Spizaetus melanoleucus (Vieillot, 1816)",5788513.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spizaetus,ACCEPTED,99,LC
PSITTACARA WAGLERI,Psittacara wagleri,"Psittacara wagleri (G.R.Gray, 1845)",7634300.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,SYNONYM,98,NT
EUPSITTULLA PERTINAX,Eupsittulla pertinax,"Eupsittula pertinax (Linnaeus, 1758)",7926461.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,SYNONYM,84,
OXYRHOPUS PETOLA,Oxyrhopus petola,"Oxyrhopus petola (Linnaeus, 1758)",7754541.0,Animalia,Chordata,Squamata,,Colubridae,Oxyrhopus,SYNONYM,98,NE
ATELES SP.,Ateles sp.,"Ateles É.Geoffroy Saint-Hilaire, 1806",2436640.0,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,ACCEPTED,94,NE
OROCHELIDON MURINA,Orochelidon murina,"Orochelidon murina (Cassin, 1853)",7340421.0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Notiochelidon,SYNONYM,98,LC
PHRYNONAX,Phrynonax,,,,,,,,,,0,
MUSTELA FRENATA,Mustela frenata,"Mustela frenata Lichtenstein, 1831",5218919.0,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,ACCEPTED,99,LC
HYDROCHOERUS HYDROCHAERIS,Hydrochoerus hydrochaeris,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",5786666.0,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,ACCEPTED,99,LC
PIONUS TUMULTUOSUS,Pionus tumultuosus,"Pionus tumultuosus (Tschudi, 1844)",2479913.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,ACCEPTED,99,LC
PHRYNONAX POECILONOTUS,Phrynonax poecilonotus,"Phrynonax poecilonotus (Günther, 1858)",2456580.0,Animalia,Chordata,Squamata,,Colubridae,Phrynonax,ACCEPTED,99,LC
LECHUZA,Lechuza,,,,,,,,,,0,
CEBUS CAPUCCINUS,Cebus capuccinus,"Cebus capucinus (Linnaeus, 1758)",2436637.0,Animalia,Chordata,Mammalia,Primates,Cebidae,Cebus,ACCEPTED,96,VU
PYGOCHELIDON CYANOLEUCA,Pygochelidon cyanoleuca,"Pygochelidon cyanoleuca (Vieillot, 1817)",2489207.0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Notiochelidon,SYNONYM,98,LC
PIONUS MESTRUUS,Pionus mestruus,"Pionus Wagler, 1832",2479900.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,ACCEPTED,94,NE
ACCIPITER SUPERCILIOSUS,Accipiter superciliosus,"Accipiter superciliosus (Linnaeus, 1766)",2480580.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,ACCEPTED,99,LC
HARPIA HARPYJA,Harpia harpyja,"Harpia harpyja (Linnaeus, 1758)",2480516.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpia,ACCEPTED,99,VU
MUSTELIRALLUS SP,Mustelirallus sp,"Mustelirallus Bonaparte, 1856",4843492.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Mustelirallus,DOUBTFUL,92,
PIONUS MENTRUUS RUBRIGULARES,Pionus mentruus,"Pionus menstruus (Linnaeus, 1766)",2479902.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,ACCEPTED,95,LC
PIONUS MESNSTRUUS RUBRIGULARIS,Pionus mesnstruus,"Pionus menstruus (Linnaeus, 1766)",2479902.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,ACCEPTED,95,LC
OXHRYOPUS PETALARIUS,Oxhryopus petalarius,,,,,,,,,,0,
CHERAX SP.,Cherax sp.,"Cherax Erichson, 1846",4417557.0,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Cherax,ACCEPTED,94,NE
SPINUS SP.,Spinus sp.,Animalia,1.0,Animalia,,,,,,ACCEPTED,92,NE
ARTIBEUS LITURATUS,Artibeus lituratus,"Artibeus lituratus (Olfers, 1818)",2433270.0,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,ACCEPTED,99,LC
PENDIENTE,Pendiente,,,,,,,,,,0,
MUSTELA PUTORIUS FURO,Mustela putorius,"Mustela putorius Linnaeus, 1758",5218911.0,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,ACCEPTED,99,LC
ERYTHROLAMPRUS EPINEPHELUS,Erythrolamprus epinephelus,"Erythrolamprus epinephelus (Cope, 1862)",9609892.0,Animalia,Chordata,Squamata,,Colubridae,Erythrolamprus,ACCEPTED,99,LC
PIONUS MENSTRUUS RUBRIGULARES,Pionus menstruus,"Pionus menstruus (Linnaeus, 1766)",2479902.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,ACCEPTED,99,LC
CHELONOIDIS,Chelonoidis,,,,,,,,,,0,
BUTEO SWAINSONI,Buteo swainsoni,"Buteo swainsoni Bonaparte, 1838",2480562.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,ACCEPTED,99,LC
CHELONOIDIS DENTICULATA,Chelonoidis denticulata,"Chelonoidis denticulatus (Linnaeus, 1766)",5220281.0,Animalia,Chordata,Testudines,,Testudinidae,Chelonoidis,ACCEPTED,96,VU
CHELYDRA ACUTIROSTRIS,Chelydra acutirostris,"Chelydra acutirostris Peters, 1862",8330787.0,Animalia,Chordata,Testudines,,Chelydridae,Chelydra,ACCEPTED,99,NE
MEGACERYLE TORQUATA,Megaceryle torquata,"Megaceryle torquata (Linnaeus, 1766)",2475466.0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,ACCEPTED,99,LC
DIPSAS SANCTIJOANNIS,Dipsas sanctijoannis,"Dipsas sanctijoannis (Boulenger, 1911)",5223428.0,Animalia,Chordata,Squamata,,Colubridae,Dipsas,ACCEPTED,99,LC
CHELONODIS CARBONARIA,Chelonodis carbonaria,"Chelonoidis carbonarius (Spix, 1824)",9533689.0,Animalia,Chordata,Testudines,,Testudinidae,Chelonoidis,ACCEPTED,85,
DRYMARCHON MELANURUS,Drymarchon melanurus,"Drymarchon melanurus (Duméril, Bibron & Duméril, 1854)",2452321.0,Animalia,Chordata,Squamata,,Colubridae,Drymarchon,ACCEPTED,99,LC
KINOSTERNON LEUCOSTOMUN,Kinosternon leucostomun,"Kinosternon leucostomum (Duméril, Bibron & Duméril, 1851)",2442350.0,Animalia,Chordata,Testudines,,Kinosternidae,Kinosternon,ACCEPTED,93,NE
ARAMIDES CAJANEUS,Aramides cajaneus,"Aramides cajanea (Statius Muller, 1776)",2474659.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,ACCEPTED,96,LC
THERISTICUS CAUDATUS,Theristicus caudatus,"Theristicus caudatus (Boddaert, 1783)",2480790.0,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,ACCEPTED,99,LC
OXYRHOPUS PETOLARIUS,Oxyrhopus petolarius,"Oxyrhopus petolarius (Linnaeus, 1758)",2454989.0,Animalia,Chordata,Squamata,,Colubridae,Oxyrhopus,ACCEPTED,99,LC
CHELONOIDES CARBONARIA,Chelonoides carbonaria,"Chelonoidis carbonarius (Spix, 1824)",9533689.0,Animalia,Chordata,Testudines,,Testudinidae,Chelonoidis,ACCEPTED,85,
