especie_key,tipo_especie,nombre_comun,nombre_cientifico,categoria_iucn,categoria_iucn_label,es_amenazada
394,AVES,FLAVEOLA,COEREBA FLAVEOLA,NE,No evaluada,False
395,AVES,TINGUA,PORZANA CAROLINA,NE,No evaluada,False
396,AVES,COLIBRI,COLIBRI SP,NE,No evaluada,False
397,ARACNIDOS,ARAÑA,PHONEUTRIA NIGRIVENTER,NE,No evaluada,False
398,REPTILES,IGUANA (HUEVOS),IGUANA IGUANA,NE,No evaluada,False
399,AVES,SOLITARIUS,HARPYHALIAETUS SOLITARIUS,NE,No evaluada,False
400,REPTILES,IGUANA,IGUANA IGUANA HUEVOS,NE,No evaluada,False
401,FAUNA ACUATICA,TEMBLON,ELECTROPHORUS ELECTRICUS,NE,No evaluada,False
402,MAMIFEROS,NEONATO,NO IDENTIFICADA,NE,No evaluada,False
403,MAMIFEROS,NEONATO MAMIFERO,INDETERMINADA,NE,No evaluada,False
404,REPTILES,CAZADORA,ERYTHROLAMPUS TYPHLUS,NE,No evaluada,False
405,REPTILES,MATA MATA,CHELUS FIMBRIATA,NE,No evaluada,False
406,AVES,FORMICIVORUS FLAVIGULA,MELANERPES FORMICIVORUS FLAVIGULA (MALHERBE),NE,No evaluada,False
407,AVES,CHAVARRÍ,CHAUNA CHAVARIA,NE,No evaluada,False
408,CRUSTACEOS,CANGREJO VIOLINISTA,UCA SP,NE,No evaluada,False
409,AVES,ATRATUS,CORAGYPS ATRATUS BECHSTEIN,NE,No evaluada,False
410,ESPECIMENES,TORTUGA,KINOSTERNON LEUCOSTOMUM,NE,No evaluada,False
411,ESPECIMENES,TORTUGA,CHELONOIDIS CARBONARIA,NE,No evaluada,False
412,AVES,COTORRA CARIROSADA,PYRILIA PULCHRA,NE,No evaluada,False
413,REPTILES,CAZADORA,ERYTHROLAMPRUS MELANOTUS,NE,No evaluada,False
414,AVES,TUCAN DE PICO ROJO,RAMPHASTOS TUCANUS,NE,No evaluada,False
415,AVES,AMERICANA,CHLOROCERYLE AMERICANA,NE,No evaluada,False
416,AVES,ALBIGULARIS,LATERALLUS ALBIGULARIS,NE,No evaluada,False
417,AVES,STRIATUS,BUTORIDES STRIATUS,NE,No evaluada,False
418,MAMIFEROS,TAMANDUA,TAMANDUA SP,NE,No evaluada,False
419,AVES,TANGARA TRIGUERA,TANGARA CAYANA,NE,No evaluada,False
420,AVES,ALBOCOLLIS,NYCTIDROMUS ALBOCOLLIS,NE,No evaluada,False
421,MAMIFEROS,PACA,CUNICULUS PACA,NE,No evaluada,False
422,AVES,MOMOTA AEQUATORIALIS,MOMOTUS MOMOTA AEQUATORIALIS GOULD,NE,No evaluada,False
423,AVES,UNCINATUS,CHONDROHIERAX UNCINATUS,NE,No evaluada,False
424,REPTILES,DESCONOCIDO,DESCONOCIDO,NE,No evaluada,False
425,AVES,PLANCUS,POLYBORUS PLANCUS,NE,No evaluada,False
426,AVES,WAGLERI,PSAROCOLIUS WAGLERI,NE,No evaluada,False
427,AVES,SAUCEROTTEI,AMAZILIA SAUCEROTTEI,NE,No evaluada,False
428,MAMIFEROS,BRASILIENSIS ANDINUS,EPTESICUS BRASILIENSIS ANDINUS J.A. ALLEN,NE,No evaluada,False
429,AVES,BUHO REAL,BUBO VIRGINIANUS,NE,No evaluada,False
430,AVES,PERIQUITO ALIAZUL,BROTEGERIS CYANOPTERA,NE,No evaluada,False
431,AVES,GUY,PHAETHORNIS GUY,NE,No evaluada,False
432,AVES,NIGRICOLLIS,ANTHRACOTHORAX NIGRICOLLIS,NE,No evaluada,False
433,REPTILES,TAIRA,EIRA BARBARA,NE,No evaluada,False
434,REPTILES,FALSA CORAL,ERYTHROLAMPRUS BIZONA,NE,No evaluada,False
435,AVES,MERCENARIA CANIPALLIATA,AMAZONA MERCENARIA CANIPALLIATA (CABANIS),NE,No evaluada,False
436,AVES,CONSPICILLATUS,FORPUS CONSPICILLATUS SUBSP. PERQUITO,NE,No evaluada,False
437,AVES,BUHO RAYADO,PSEUDOSCOPS CLAMATOR,NE,No evaluada,False
438,MAMIFEROS,ZARIGÜEYA,CALUROMYS LANATUS,NE,No evaluada,False
439,AVES,OLIVACEA,PIRANGA OLIVACEA (GMELIN),NE,No evaluada,False
440,MAMIFEROS,PERSPICILLATA,CAROLLIA PERSPICILLATA,NE,No evaluada,False
441,MAMIFEROS,JAGUAR,PANTHERA ONCA,NE,No evaluada,False
442,AVES,BOURCIERII,EUBUCCO BOURCIERII,NE,No evaluada,False
443,AVES,VIRENS,CONTOPUS VIRENS (LINNAEUS),NE,No evaluada,False
444,AVES,PSALTRIA,CARDUELIS PSALTRIA,NE,No evaluada,False
445,AVES,AMERICANA,SPOROPHILA AMERICANA,NE,No evaluada,False
446,MAMIFEROS,NUTRIA,LONTRA LONGICAUDIS,NE,No evaluada,False
447,AVES,TYRANNUS,TYRANNUS TYRANNUS,NE,No evaluada,False
448,MAMIFEROS,ALBESCENS,MYOTIS ALBESCENS,NE,No evaluada,False
449,AVES,TURPIAL LAGUNERO,GYMNOMYSTAX MEXICANUS,NE,No evaluada,False
450,AVES,CURIO RENEGRIDO,SPOROPHILIA CRASSIROSTRIS,NE,No evaluada,False
451,AVES,CAPENSIS,ZONOTRICHIA CAPENSIS,NE,No evaluada,False
452,MAMIFEROS,OLIVACEA LAGUNETAE,NASUELLA OLIVACEA LAGUNETAE J.A. ALLEN,NE,No evaluada,False
453,AVES,CARDENAL GUAJIRO,CARDENALIS PHOENICEUS,NE,No evaluada,False
454,AVES,COTORRA CARIAMARILLA,PYRILIA PYRILIA,NE,No evaluada,False
455,REPTILES,ATROX,BOTHROPS ATROX,NE,No evaluada,False
456,AVES,BICOLOR,DENDROCYGNA BICOLOR,NE,No evaluada,False
