nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
DINOMIYS BRANIICKII,,,,,,,,,,,0,
DASYPUS NOVENMCINTUS,,,,,,,,,,,0,
HYDROCHAERIS HYDROCHAERIS,,,,,,,,,,,0,
AMAZONA FARINOSA,,,,,,,,,,,0,
DINOMYS BRANICKII,,,,,,,,,,,0,
PENELOPE PERSPICAX,,,,,,,,,,,0,
HIRUNDO RUSTICA,,,,,,,,,,,0,
ARA CHLOROPTERA,,,,,,,,,,,0,
RANA CASTESBEIANA,,,,,,,,,,,0,
BUFO MARINUS,,,,,,,,,,,0,
ESTRUTIO CAMELUS,,,,,,,,,,,0,
CERDOCYON THOUS,,,,,,,,,,,0,
EUPHONIA LANIIROSTRIS,,,,,,,,,,,0,
MAZAMA RUFINA BOURCIER & PUCHERÁN,Mazama Rufina Bourcier & Pucherán,,,,,,,,,,0,
LEPTODEIRA ANNULATA CF.,,,,,,,,,,,0,
THRAUPIS EPISCOPUS,,,,,,,,,,,0,
DIDELPHIS MARSUPIALIS,,,,,,,,,,,0,
MOMOTUS MOMOTA,,,,,,,,,,,0,
NOCTILIO ALBIVENTRIS,,,,,,,,,,,0,
CAMALEON,,,,,,,,,,,0,
ANOLIS CHLORIS,,,,,,,,,,,0,
CAPRIMULGUS LONGIROSTRIS RUFICERVIX (P.L. SCLATER),,,,,,,,,,,0,
LEPIDOBLEPHARIS SP.,,,,,,,,,,,0,
TYTO ALBA,,,,,,,,,,,0,
CROTALUS DIRUSSUS,,,,,,,,,,,0,
HELIODOXA JACULA,,,,,,,,,,,0,
PARDIRALLUS NIGRACANS,,,,,,,,,,,0,
SAGUINUS OEDIPUS,,,,,,,,,,,0,
LEOPARDUS TIGRINUS,,,,,,,,,,,0,
GERANOAETUS MELANOLEUCUS AUSTRALIS SWANN,,,,,,,,,,,0,
DENDROPHIDION PERCARINATUM,,,,,,,,,,,0,
SAGUINUS FUSCICOLLIS,,,,,,,,,,,0,
CROTALUS DURISSUS,,,,,,,,,,,0,
